4 accumulation steps, 24 fragments per step, 1024 fragment legnth
e512h3d50w1024 b96f1024 drop1ch1tail5 0x0, size 149.835M
iter 104k, 911.409 sec, train err -2.95573, test err -2.98452
iter 105k, 921.34 sec, train err -2.95666, test err -2.98415
iter 106k, 912.783 sec, train err -2.95551, test err -2.9843
iter 107k, 914.362 sec, train err -2.95428, test err -2.983
iter 108k, 906.424 sec, train err -2.95347, test err -2.98106
iter 109k, 905.317 sec, train err -2.9541, test err -2.9811
iter 110k, 905.968 sec, train err -2.95331, test err -2.98177
iter 111k, 915.753 sec, train err -2.95086, test err -2.97877
iter 112k, 911.374 sec, train err -2.9495, test err -2.98013
iter 113k, 924.04 sec, train err -2.94989, test err -2.9785
iter 114k, 903.86 sec, train err -2.94812, test err -2.97852
iter 115k, 905.279 sec, train err -2.94671, test err -2.97649
iter 116k, 905.109 sec, train err -2.94641, test err -2.97607
iter 117k, 905.218 sec, train err -2.94591, test err -2.97644
iter 118k, 905.127 sec, train err -2.94389, test err -2.97645
iter 119k, 901.738 sec, train err -2.94399, test err -2.97409
iter 120k, 897.724 sec, train err -2.94485, test err -2.975
iter 121k, 897.771 sec, train err -2.94317, test err -2.97212
iter 122k, 898.067 sec, train err -2.94334, test err -2.97275
iter 123k, 897.966 sec, train err -2.94205, test err -2.97215
iter 124k, 898.217 sec, train err -2.94179, test err -2.97064
iter 125k, 905.936 sec, train err -2.94059, test err -2.97028
iter 126k, 905.331 sec, train err -2.94044, test err -2.97016
iter 127k, 906.526 sec, train err -2.94037, test err -2.96955
iter 128k, 905.185 sec, train err -2.9389, test err -2.96778
iter 129k, 905.172 sec, train err -2.93917, test err -2.96742
iter 130k, 905.306 sec, train err -2.93977, test err -2.96844
iter 131k, 907.03 sec, train err -2.93847, test err -2.96666
iter 132k, 904.875 sec, train err -2.93804, test err -2.96715
iter 133k, 904.433 sec, train err -2.93608, test err -2.96739
iter 134k, 904.244 sec, train err -2.93651, test err -2.96592
